Segment,Year,BEV_sales,DV_sales,BEV_stock,DV_stock,BEV_VMT,DV_VMT,diesel,electricity,BEV_incentive,infrastructure_incentive,carbon_emissions
Sleeper,2030,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8118069651.561299,0.0,0.0,0.0,82479587659.86281
Sleeper,2031,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8000326858.653577,0.0,0.0,0.0,81283320883.92035
Sleeper,2032,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,7882584065.741035,0.0,0.0,0.0,80087054107.92892
Sleeper,2033,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,7764841272.833225,0.0,0.0,0.0,78890787331.98557
Sleeper,2034,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,7647098479.924886,0.0,0.0,0.0,77694520556.03683
Sleeper,2035,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,7529355687.016044,0.0,0.0,0.0,76498253780.08301
Bus,2020,200.0,5800.0,200.0,71800.0,7757224.353000781,2784843542.7268596,393414715.31589586,15671064.146763636,0.0,0.0,4003628341.358702
Bus,2021,360.0,5640.0,560.0,71440.0,21720228.188402165,2770880538.891462,390953508.5956834,43501934.76425818,0.0,0.0,3989623277.2356157
Bus,2022,700.0,5300.0,1260.0,70740.0,48870513.42390492,2743730253.6559663,386199597.1369402,96884373.763064,0.0,0.0,3961495305.179897
Bus,2023,1360.0,4640.0,2620.0,69380.0,101619639.02431048,2690981128.055575,377541691.4228417,199174435.03201592,0.0,0.0,3910573750.3235874
Bus,2024,2290.0,3710.0,4910.0,67090.0,190439857.86616772,2602160909.2137394,363708314.58581686,369014422.8580494,0.0,0.0,3828638288.612798
Bus,2025,3310.0,2690.0,8220.0,63780.0,318821920.9083302,2473778846.1716104,344406468.5358349,611036945.007674,0.0,0.0,3711505058.7142496
Bus,2026,4320.0,1680.0,12540.0,59460.0,486377966.93315434,2306222800.1468377,319862495.0937735,922384701.6168106,0.0,0.0,3557510486.6121063
